market,universe,volume_filter,trades,win_rate,avg_return_pct
KR,KOSPI100,미적용,53,77.36,3.78
KR,KOSPI100,적용,37,75.68,3.61
US,S&P500+나스닥,미적용,2404,51.25,1.02
US,S&P500+나스닥,적용,796,49.37,-0.49
