market,universe,volume_filter,trades,win_rate,avg_return_pct,holding_days
KR,KOSPI100,미적용,49,75.51,3.79,7.8
KR,KOSPI100,적용,34,73.53,3.52,7.8
US,S&P500+나스닥,미적용,434,50.23,0.2,7.0
US,S&P500+나스닥,적용,289,48.44,0.12,7.0
